Braak_base,diff,lwr,upr,p adj
0-II_adj_DNAm_age-0-II_age,2.00509645260871,-4.52604925393132,8.53624215914875,0.949905802361337
III-IV_adj_DNAm_age-0-II_adj_DNAm_age,5.12934558978262,-2.08084404313056,12.3395352226958,0.319100418678664
III-IV_adj_DNAm_age-III-IV_age,-4.29762317500003,-12.1281917906933,3.53294544069328,0.612364279759017
III-IV_age-0-II_age,11.4320652173914,4.22187558447818,18.6422548503045,0.000130885908473211
V-VI_adj_DNAm_age-0-II_adj_DNAm_age,3.76883934317547,-1.71637884085953,9.25405752721048,0.358484502690341
V-VI_adj_DNAm_age-III-IV_adj_DNAm_age,-1.36050624660714,-7.63892872593908,4.91791623272479,0.989132465325222
V-VI_adj_DNAm_age-V-VI_age,0.404370578392857,-3.78124440782844,4.58998556461415,0.999772008926314
V-VI_age-0-II_age,5.36956521739133,-0.115652966643681,10.8547834014263,0.0588547818206078
V-VI_age-III-IV_age,-6.06250000000003,-12.340922479332,0.215922479331911,0.0650963032387732
